,source,target
5405,hey this is some bitching car,hey this is a really cool car
5406,listen up you childless losers,listen you childless zeros
5407,god damn it cover yourself,for god s sakes cover yourself
5408,and if it s not enough i ll break your arms and your legs,and if that s not enough then even hands and feet
5409,it s gonna be a killer and a killer and a killer when i build a gorilla in manila,it will be a thriller and a chilla and a killa when i get the gorilla in manila
5410,whoa stache are you fucking with us,wait stachi are you with us
5411,there s gotta be at least other smoke eaters here that do that shit for real every day,there must be at least other water drinkers who do it for real every day
5412,and i have to thank your killer witch,and i have your witchslayer to thank
5413,come on do you know if the shit is hot they freeze faster than ice cream,come on you know that since poop comes out hot it freezes quicker than a popsicle mind blowing
5414,eve you have to stay focused even when shit hits the fan,eve you have to stay alert even if they fall
5415,i mean all these years i ve been listening to a lot of bullshit,what are you gonna do so different i mean cause all these years i heard a lot of talkin
5416,just shut the hell up,please be quiet
5417,take it from me you would rather get fucked than ignored,trust me you d rather be married than ignored
5418,he had just come out of the sun and couldn t see shit,he just came out of the light and couldn t see the mushrooms with tails
5420,so i can rape every one of your personal rights,we feds now which means i can violate every last one of your civil rights
5421,people are crazy they re crazy,and people get mad about it too they are
5422,you want me to come down there so you can kill me,do you want me to go down there so you can try
5423,shit,oh god
5424,hey fat boy,hey fatty
5425,so sit down and shut up,now sit down and be quiet
5426,he drank the whole fucking thing,he drank the whole thing
5427,got out of the fucking truck right fucking now,get out of the car right now
5428,taylor fisher s guide how not to be for a total idiot,taylor fisher s guide to not being a total reject
5429,damn it she wasn t following neal last night she was following mozzie,she didn t watch neal yesterday she watched mozzie
5430,i have been with all kinds of whores all over the world and you my dear are no crack whore,i have tried all types of puppets around the world and you my dear are not one of them
5431,what the fuck carrie,what are you doing carrie
5432,i have neutralized the soldats traitor,i took care of himfor the soldats
5433,goddamn,blimey
5434,do you mind if i shoot your fitting,do you mind if i take your exam
5435,ok this town these people and all this fucked up shit that seems like the end of the known world it s all just a blip,this city these people and all those things that feel like the end of the world it ll pass
5436,you get them first and then you suck,you acquire them and drain them
5437,you can fuck off,then you can get out
5438,what the fuck do you know,what do you think
5439,i should have fore fed him a bullet when i had the chance,i should have taken him off when i could
5441,i wanted to shoot chicken man but ringo s dead so we re missing a big chunk of black meat,my dream was to do this willy wanker movie but ringo s dead and those are some pretty big black shorts to fill
5442,if you succeeded in your stupid plan and destroyed arrakis it would be an end not just for your government but the entire empire,if you had succeeded in your foolhardy plan to devastate arrakis you would have brought an end not only to your reign but to the entire imperium
5443,our missing bitch was last seen dancing for boys in blue,our missing minx was last seen dancing for the boys in blue
5444,they close the fool s hand around this pressure release trigger,the poor man can squeeze his hand around the pressure trigger
5445,burn it jim,light it jim
5446,how do you know i wouldn t go in there and rip his face off,how do you know i wouldn t scratch his eyes
5447,he shut the hell up,he shut the crossbow
5448,if i buy a car and i wanna paint it i can paint the motherfucker,if i buy a car and i want to repaint it i ll do it
5449,you don t watch him alone cause i got that son of a bitch too,well you re not watching him alone because i ll keep my eye on that sob too
5450,so the lawyer says your brother died rich oil wells and shit,so anyway this lawyer fella says to me your brother died a rich man
5452,your balls,your courage
5453,madam admires your butt,madam admires your background
5454,my engine the radio the fucking bulkhead galleys,to the engine to the radio to the counter the kitchen
5455,i knew it was you silly,i know it s you
